station,school,distance_m,school_lat,school_lon,授業開始日,情報源URL
西長堀,大阪市立堀江中学校,286,34.6736314,135.4850602,,
西長堀,大阪市立堀江中学校,633.5,34.6704895,135.489689,,
西院,市立西院中学校,502.1,34.999554,135.7292495,,
西院,私立両洋中学校(休校中),539.8,35.008086,135.733943,,
西院,私立京都両洋高等学校,544.7,35.0081437,135.7339082,,
西院,市立朱雀中学校,601.3,35.006775,135.7370941,,
西院,市立四条中学校,644.6,35.0024135,135.7248447,,
谷町九丁目,大阪市立上町中学校,658.2,34.6723935,135.5190237,,
谷町九丁目,清風中学校・清風高等学校,696.8,34.6631466,135.5217647,,
谷町九丁目,上宮中学校・上宮高等学校,713.7,34.6621375,135.5208096,,
谷町六丁目,大阪市立上町中学校,427.8,34.6723935,135.5190237,,
谷町六丁目,大阪市立南高等学校,428,34.6743555,135.5128176,,
谷町六丁目,大阪府立清水谷高等学校,658.9,34.6746033,135.5241342,,
谷町六丁目,大阪市立東中学校,738.7,34.6824836,135.5182026,,
谷町六丁目,大阪市立南中学校,783.9,34.6742811,135.5087612,,
谷町四丁目,大阪市立東中学校,82.4,34.6824836,135.5182026,,
谷町四丁目,大阪府立中央高等学校,600.6,34.6876976,135.5163273,,
谷町四丁目,大阪府立大手前高等学校,606.3,34.687568,135.5192701,,
谷町四丁目,大阪府立中央高等学校,664.8,34.6882849,135.5163635,,
豊津,関西大学第一高等学校,561.9,34.7694038,135.5091031,,
豊津,関西大学第一中学校,656.4,34.7702355,135.5098439,,
都島,大阪市立都島第二工業高等学校,95,34.709817,135.5260224,,
都島,大阪市立都島工業高等学校,202.6,34.710677,135.5250729,,
都島,大阪市立都島中学校,670.1,34.7029467,135.5259205,,
都島,大阪市立高倉中学校,776.5,34.7126685,135.5330662,,
野江内代,大阪市立高倉中学校,621.4,34.7126685,135.5330662,,
野江内代,大阪市立蒲生中学校,756.1,34.7050185,135.5449064,,
野田阪神,大阪府立西野田工科高等学校,492.7,34.6937044,135.4695454,,
長原,市立長吉中学校,311,34.6049984,135.5759327,,
長原,市立長吉西中学校,769.2,34.6004862,135.565803,,
長堀橋,大阪市立南中学校,253.1,34.6742811,135.5087612,,
長堀橋,大阪市立南高等学校,605.8,34.6743555,135.5128176,,
長居,私立大阪学芸高等学校,523,34.6155552,135.5124337,,
長居,市立大領中学校,576,34.6137807,135.5072981,,
長居,大阪市立我孫子中学校,655,34.604967,135.5121785,,
長居,市立我孫子中学校,693.2,34.604625,135.5121332,,
長岡天神,市立長岡中学校,544.9,34.9274432,135.687303,,
長岡天神,府立乙訓高等学校,744.7,34.9186681,135.6935908,,
長田,市立夢野中学校,344,34.6820618,135.1533627,,
長田,市立丸山中学校,420.1,34.6779443,135.1486263,,
長田,県立夢野台高等学校,610.9,34.676778,135.1527706,,
関大前,関西大学第一高等学校,336.9,34.7694038,135.5091031,,
関大前,関西大学第一中学校,360.2,34.7702355,135.5098439,,
関大前,吹田市立第一中学校,390.9,34.7726375,135.5021967,,
関目成育,大阪府立旭高等学校,689.1,34.7182066,135.5421868,,
関目高殿,大阪府立旭高等学校,460.7,34.7182066,135.5421868,,
関目高殿,大阪市立旭陽中学校,681.2,34.7188079,135.5396813,,
阿倍野,大谷中学校,709.2,34.6385921,135.5058516,,
阿倍野,大谷高等学校,739.6,34.6389747,135.5051264,,
阿倍野,大阪市立工芸高等学校,786.7,34.6379693,135.5186105,,
阿倍野,YMCA学院高等学校,797.5,34.647901,135.5177079,,
阿波座,大阪市立花乃井中学校,572.4,34.6861749,135.489196,,
駒川中野,市立中野中学校,661.5,34.620415,135.5395795,,
高井田,市立高井田中学校,263.4,34.6774752,135.5692616,,
高井田,市立新喜多中学校,543.2,34.673952,135.574434,,
高井田,東大阪市立新喜多中学校,640.7,34.6731243,135.5747953,,
高槻市,私立高槻中学校,492.1,34.848236,135.628231,,
高槻市,私立高槻高等学校,493.2,34.848211,135.628231,,
高槻市,市立第一中学校,687.6,34.8437312,135.623162,,
鴫野,大阪市立城陽中学校,365.7,34.6948984,135.542187,,
鶴橋,大阪府立高津高等学校,718.6,34.6701461,135.5248714,,
鶴見緑地,大阪市立茨田北中学校,643.2,34.7106943,135.5877107,,
